Date,PortfolioMTM,NAV,DailyReturn,Equity,HedgeShares,CallNum,NetDelta,Gamma,Vega,Theta,Vanna,Volga,TradeEvent,CallSymbol,ExitCallSymbol,Rolled,RehedgeDay
2024-07-31,118262.43026916508,118262.43026916508,0.0004845799732839784,1.1826243026916508,0.0,0.0,,,,,,,exit:force_close,,O:AAPL240802C00215000,False,False
2024-08-01,118262.43026916508,118262.43026916508,0.0,1.1826243026916508,0.0,0.0,,,,,,,,,,False,False
2024-08-02,118262.43026916508,118262.43026916508,0.0,1.1826243026916508,0.0,0.0,,,,,,,,,,False,False
2024-08-05,118262.43026916508,118262.43026916508,0.0,1.1826243026916508,0.0,0.0,,,,,,,,,,False,False
2024-08-06,118262.43026916508,118262.43026916508,0.0,1.1826243026916508,0.0,0.0,,,,,,,,,,False,False
2024-08-07,118262.43026916508,118262.43026916508,0.0,1.1826243026916508,381.0,966.0,0.2671327913515711,0.043062251512454686,41.990827016423935,-63.62485148842767,1.537694235505104,47.81577731232574,enter_long,O:AAPL240906C00220000,,False,False
2024-08-08,117466.91654846194,117466.91654846194,-0.006726681659530832,1.1746691654846193,258.0,966.0,0.17316149587065865,0.05014028342739317,45.23887248818262,-67.44611139456181,1.242671290696293,25.60573118210163,,O:AAPL240906C00220000,,False,True
2024-08-09,117102.2985955811,117102.2985955811,-0.0031040054816661197,1.1710229859558108,123.0,966.0,-0.32531782541892085,0.054442100922207005,47.156031896721046,-72.23543245605096,0.7428592430573293,7.170453125861114,,O:AAPL240906C00220000,,False,True
2024-08-12,116208.02776977544,116208.02776977544,-0.00763666329807989,1.1620802776977541,71.0,966.0,0.3334843369139122,0.05959705613241711,45.21696464143672,-75.9353734817127,0.5194947146917872,2.717586837812691,,O:AAPL240906C00220000,,False,True
2024-08-13,116338.32815979008,116338.32815979008,0.0011212684055940329,1.1633832815979006,-143.0,966.0,0.02388340957062951,0.05937680755984168,44.47407599071153,-80.04748599130524,-0.42780817033861424,4.532948355262709,,O:AAPL240906C00220000,,False,True
2024-08-14,115578.45859619143,115578.45859619143,-0.006531549624427941,1.155784585961914,-177.0,966.0,0.14980945239932453,0.06365094882225059,43.2138225153782,-77.09005115738606,-0.6275612777480857,8.124844410175097,,O:AAPL240906C00220000,,False,True
2024-08-15,115221.33859619143,115221.33859619143,-0.0030898491322479296,1.152213385961914,-374.0,966.0,-0.01045294607320102,0.061110747433430694,38.715565834715264,-71.20993544103291,-1.5335217887946697,42.81710633059721,,O:AAPL240906C00220000,,False,True
2024-08-16,115052.35791137698,115052.35791137698,-0.0014665745674650264,1.1505235791137693,-459.0,966.0,-0.442329188045278,0.05808159241318031,35.342516418038514,-69.05880503508608,-1.8443368645630327,63.57220836908891,,O:AAPL240906C00220000,,False,True
